,RANK,TOKEN,PRICE,AGE
0,1,ATLAS/SOL Atlas 500,$0.01068,7h
1,2,xMoney/SOL Elon's New Stablecoin 500,$0.001128,6h
2,3,WILDNOUT/SOL Official Wild 'N Out 110,$0.007683,18h
3,4,CPMM GPAY/SOL GrokPay 600,$0.0002328,5h
4,5,ANTY/SOL Antishifty 600,$0.0008900,15d
5,6,CPMM DISTRIBUTE/SOL DISTRIBUTE 500,$0.0005159,2d
6,7,ANNON/SOL Anonymous 500,$0.0001057,1h
7,8,pwease/SOL PWEASE 10,$0.01617,3d
8,9,CLMM BTRUMP/SOL Baron Trump,$0.053933,9h
9,10,DD/SOL DJ Daniel 30,$0.001713,19h
10,11,39a/SOL 39a.fun,$0.002850,22h
11,12,V3 Money/WBNB Money 500,$0.003422,15h
12,13,Sack/SOL Sack Boy 500,$0.002019,4h
13,14,CLMM 47th/SOL 47th,$0.001790,12h
14,15,ALBERT/WAVAX ALBERT,$0.003488,6h
15,16,Keyes/SOL Ketamine Eyes Patel,$0.0002019,9h
16,17,V2 SKITTEN/WETH Ski Mask Kitten,$0.0008382,2mo
17,18,CPMM BULL/SOL Red Bull 100,$0.002869,2d
18,19,DOGEXL/SOL Doge XL 100,$0.0003035,13d
19,20,GREED 3/SOL GREED 3. This time we all win,$0.007864,1d
20,21,Eggs/SOL EggFlation 10,$0.0004869,1mo
21,22,CLMM $LAUGH/SOL Laugh,$0.0001148,3h
22,23,dweam/SOL I have a dweam 10,$0.0001719,43m
23,24,OvalDuck/SOL Donaldâ€™s Duck,$0.0001108,1h
24,25,BLUB/WAVAX Blub 30,$0.08405,1d
25,26,DLMM WILDNOUT/SOL Official Wild 'N Out 110,$0.007628,15h
26,27,aww/SOL aww,$0.0002232,1h
27,28,NEOTOKEN/SOL neotoken,$0.0001081,7h
28,29,DADDY/SOL DADDY TATE,$0.05274,8mo
29,30,DEEP/SOL Deep AI,$0.0004657,21d
30,31,BTC/SOL Bartcoin,$0.048831,3h
31,32,MNSRY/SOL MANSORY,$0.02774,7d
32,33,WEETARD/SOL Weetard 500,$0.0001693,20h
33,34,CATGPT/SOL CatGPT,$0.049727,16h
34,35,MEMDEX/SOL MEMDEX100,$0.01121,1mo
35,36,bread/SOL bread,$0.0002814,18h
36,37,PS/SOL PsPsPsPs,$0.0001262,1h
37,38,V2 WHITE/USDC WhiteRock,$0.0006341,3mo
38,39,Trump/SOL Agent Krasnov 500,$0.0116120,7h
39,40,THIRD/SOL THIRD,$0.0001277,2h
40,41,HuLeZhi/SOL Hu LeZhi,$0.0008417,14d
41,42,GOOSE/SOL BlackGoose,$0.001473,13d
42,43,EAGLE/SOL Big Bear Bald Eagle 10,$0.001256,1d
43,44,SCAN/SOL Scan Terminal,$0.049345,2h
44,45,Crew/SOL Suni Butch Stranded Astronauts 100,$0.0001118,4h
45,46,FARTKID/SOL FARTKID 50,$0.0002255,1mo
46,47,V3 $MRKT/WETH BLCKMRKT,$0.053167,1d
47,48,V3 PENGU/WETH Pudgy Penguins,$0.006599,1mo
48,49,BRETTA/SOL Bretta (Brett's Wife),$0.0002990,11mo
49,50,CWIF/SOL catwifhat,$0.061087,1y
50,51,LION/WCRO Loaded Lions 500,$0.003880,2d
51,52,CPMM LFG/SOL Lightning Fast Gains,$0.0002761,1d
52,53,V2 Bsop/WETH Bsop,$0.0006247,2mo
53,54,DLMM TRUMP/USDC OFFICIAL TRUMP,$13.25,1mo
54,55,xAI/SOL xAI,$0.0001259,9d
55,56,V3 RUNNER/WETH RUNNER,$0.3715,3mo
56,57,CASH/SOL HashCash,$0.0003210,6d
57,58,ORANGELAD/SOL Mr. Orange,$0.0003039,12d
58,59,ENI/SOL Enume AI,$0.0004727,1d
59,60,Baby/SOL Deer Seized by US Government,$0.001480,6d
60,61,Jail milei/SOL Milei the Prisondent,$0.0002995,6d
61,62,CPMM IMG/SOL Infinite Money Glitch,$0.003438,14d
62,63,V3 QR/WETH QR coin,$0.051120,27d
63,64,V3 PEPEC/WETH PEPE Clanker,$0.3963,3mo
64,65,$COLLAT/SOL Collaterize 30,$0.03545,1mo
65,66,Fartcoin/SOL Fartcoin,$0.3092,4mo
66,67,V2 ABSTER/WETH ABSTER,$0.003642,1mo
67,68,CLMM CAPYL/SOL capy laundry,$0.001226,1mo
68,69,T3AI/SOL TrustInWeb3,$0.002445,2mo
69,70,V2 HENLO/WBERA henlo,$0.0005692,2d
70,71,ANGLERFISH/SOL Black Devil,$0.003744,18d
71,72,V2 BORETT/WETH BORETT,$0.0002171,2mo
72,73,Meddy/SOL Meddy AI,$0.001140,1d
73,74,NAV/SOL Naivigator AI 130,$0.0002050,23h
74,75,HYPE/USDC HYPE,$17.18,3mo
75,76,V3 BRAIN/WETH Chad Brain,$0.048571,10d
76,77,V3 STAR10/WBNB Ronaldinho Coin,$0.06310,3d
77,78,pep/SOL smol pepe,$0.002182,27d
78,79,CPMM STORM/SOL Storm Money 500,$0.0003608,10d
79,80,Elvis/SOL Elvis,$0.0003462,2d
80,81,V2 NOOT/WETH Noot Noot,$0.01397,1mo
81,82,V2 Alf/WETH Based Alf,$0.048042,1mo
82,83,Butthole/SOL Butthole Coin,$0.01800,2mo
83,84,V3 Broccoli/WBNB Broccoli,$0.02857,20d
84,85,KET/WAVAX yellow ket,$0.3769,1mo
85,86,V2 CATCH/WETH catchcoin,$0.0009822,20d
86,87,DYN MAJOR/SOL Major Frog,$0.003619,4mo
87,88,DS/SOL DOGE SURVIVOR,$0.0006682,1d
88,89,V2 PENGU/WETH Pudgy Penguins,$0.006670,1mo
89,90,cbBTC/USDC Coinbase Wrapped BTC,"$90,529.58",-
90,91,WOOLLY/SOL Woolly Mouse 20,$0.0002744,1d
91,92,YzY/SOL Yeezy Coin,$0.003870,15d
92,93,? SENNA/SOL Memory for Senna,$0.002718,1mo
93,94,ALCH/SOL Alchemist AI,$0.05121,3mo
94,95,? V2 LGNS/DAI Longinus,$20.52,11mo
95,96,WHISP/SOL WHISP,$0.005015,1mo
96,97,DYN CATBAT/SOL CATBAT,$0.002512,4mo
97,98,V2 Labz/WETH Insane Labz (Base),$0.0004215,3mo
98,99,HOOTERS/SOL Hooter's CTO,$0.0006076,12d
99,100,V3 KAITO/WETH KAITO,$1.77,13d
